raw_value,affected_rows,current_standardized_value,current_broad_value,review_signal_type,current_recommended_action,proposed_destination_field,proposed_standardized_value,proposed_broad_value,confidence,rationale,reviewer_decision,rule_file_to_update,rule_to_add,test_to_add,notes
Soft Tissue,13,Soft Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
BLDP1,12,BLDP1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Cat nape,12,Cat nape,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
curd_Producer_2,12,curd_Producer_2,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
curd_Producer_3,12,curd_Producer_3,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Infected person,12,Infected person,,disease,route_to_disease_or_health_state,Host_Disease_SD / Host_Health_State_SD,,,needs_review,Disease or health-state signal; preserve independent material and site evidence.,unreviewed,,,,"Batch 7 - disease and health state. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
periprosthetic tissue specimen,12,periprosthetic tissue specimen,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Pig product,12,Pig product,host-associated context,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
sputum,12,sputum,clinical/host-associated material,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Toe Tissue,12,Toe Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
animal feed wheat,11,animal feed wheat,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
biopsy,11,biopsy,clinical/host-associated material,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: dictionary. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
EFB infected honey bee larva,11,EFB infected honey bee larva,,disease,route_to_disease_or_health_state,Host_Disease_SD / Host_Health_State_SD,,,needs_review,Disease or health-state signal; preserve independent material and site evidence.,unreviewed,,,,"Batch 7 - disease and health state. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Guttural pouch lavage,11,Guttural pouch lavage,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Hip Tissue,11,Hip Tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
"Tissue, Ankle",11,"Tissue, Ankle",tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
"Tissue, Finger",11,"Tissue, Finger",tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
